# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 36
# Name = "Cousins I"
# Description = "Bessel 1983, PASP,95,480. Use with V=15."
# UCD = ""
# Version = "1.0"
# DateCreated = 7/23/2003 11:24:46 AM
# DateModified = 7/23/2003 11:24:46 AM
# WavelengthMin = 7050
# WavelengthMax = 8850
# WavelengthEff = 7900.36298225252
# WavelengthScale = Linear
# EffectiveWidth = 1225.95000707079
# Unit = 
# Wavelength Value
7000 0
7050 0.0309999994933605
7100 0.0740000009536743
7150 0.158000007271767
7200 0.314000010490417
7250 0.433999985456467
7300 0.587000012397766
7350 0.722000002861023
7400 0.808000028133392
7450 0.870000004768372
7500 0.919000029563904
7550 0.938000023365021
7600 0.950999975204468
7650 0.968999981880188
7700 0.980000019073486
7750 0.984000027179718
7800 0.995000004768372
7850 0.999000012874603
7900 1
7950 0.995999991893768
8000 0.994000017642975
8050 0.985000014305115
8100 0.973999977111816
8150 0.964999973773956
8200 0.957000017166138
8250 0.934000015258789
8300 0.912999987602234
8350 0.879000008106232
8400 0.869000017642975
8450 0.782000005245209
8500 0.635999977588654
8550 0.46000000834465
8600 0.261000007390976
8650 0.11599999666214
8700 0.046000000089407
8750 0.0109999999403954
8800 0.00499999988824129
8850 0.00300000002607703
8900 0
