# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 35
# Name = "Cousins R"
# Description = "Bessel 1983, PASP,95,480. Use with V=15."
# UCD = ""
# Version = "1.0"
# DateCreated = 7/23/2003 11:24:19 AM
# DateModified = 7/23/2003 11:24:19 AM
# WavelengthMin = 5600
# WavelengthMax = 8700
# WavelengthEff = 6605.36962433754
# WavelengthScale = Linear
# EffectiveWidth = 1452.15000424068
# Unit = 
# Wavelength Value
5550 0
5600 0.0419999994337559
5650 0.118000000715256
5700 0.296999990940094
5750 0.601999998092651
5800 0.865000009536743
5850 0.926999986171722
5900 0.962999999523163
5950 1
6000 1
6050 0.995000004768372
6100 0.984000027179718
6150 0.970000028610229
6200 0.957000017166138
6250 0.944999992847443
6300 0.926999986171722
6350 0.91100001335144
6400 0.889999985694885
6450 0.870000004768372
6500 0.847000002861023
6550 0.820999979972839
6600 0.796999990940094
6650 0.772000014781952
6700 0.74099999666214
6750 0.712000012397766
6800 0.679000020027161
6850 0.65200001001358
6900 0.620999991893768
6950 0.592999994754791
7000 0.564000010490417
7050 0.533999979496002
7100 0.503000020980835
7150 0.474000006914139
7200 0.446000009775162
7250 0.419999986886978
7300 0.393999993801117
7350 0.370000004768372
7400 0.34400001168251
7450 0.321000009775162
7500 0.300000011920929
7550 0.280000001192093
7600 0.257999986410141
7650 0.238999992609024
7700 0.222000002861023
7750 0.204999998211861
7800 0.188999995589256
7850 0.174999997019768
7900 0.159999996423721
7950 0.146999999880791
8000 0.136000007390976
8050 0.120999999344349
8100 0.112000003457069
8150 0.101000003516674
8200 0.0920000001788139
8250 0.0839999988675117
8300 0.0759999975562096
8350 0.0670000016689301
8400 0.0579999983310699
8450 0.0509999990463257
8500 0.0410000011324883
8550 0.028999999165535
8600 0.0189999993890524
8650 0.00899999961256981
8700 0.00400000018998981
8750 0
