filter    index    Flambda(Vega)   area    mean lambda  lambda eff(Vega)  mAB(Vega)  mTG(Vega)  Flambda(Sun)
IRAS100     51       .1357E-16   .3329E+06   .1020E+07     .9533E+06        9.772     99.999     .8049E+22
WFI_842     52       .5816E-08   .8742E+03   .4586E+04     .4540E+04       -0.114     99.999     .5268E+30
WFI_843     53       .3827E-08   .7909E+03   .5375E+04     .5339E+04       -0.009     99.999     .5247E+30
WFI_844     54       .2191E-08   .1503E+04   .6503E+04     .6397E+04        0.192     99.999     .4448E+30
WFI_845     55       .9386E-09   .1444E+04   .8635E+04     .8526E+04        0.496     99.999     .2769E+30
WFI_848     56       .1359E-08   .1892E+03   .7535E+04     .7531E+04        0.374     99.999     .3536E+30
WFI_849     57       .1267E-08   .2000E+03   .7705E+04     .7697E+04        0.402     99.999     .3400E+30
WFI_851     58       .1058E-08   .2213E+03   .8165E+04     .8160E+04        0.472     99.999     .3052E+30
WFI_852     59       .9532E-09   .2216E+03   .8387E+04     .8379E+04        0.527     99.999     .2892E+30
WFI_854     60       .8188E-09   .2579E+03   .9136E+04     .9128E+04        0.506     99.999     .2450E+30
WFI_870     61       .8658E-09   .3662E+03   .8833E+04     .8829E+04        0.519     99.999     .2606E+30
Un filter   62       .3397E-08   .4589E+05   .3496E+04     .3514E+04        1.057     99.999     .2770E+30
G filter    63       .5258E-08   .8373E+05   .4784E+04     .4727E+04       -0.094     -0.237     .5319E+30
R filter    64       .1773E-08   .1269E+06   .6944E+04     .6862E+04        0.275      0.480     .4038E+30
B_cfh12k    65       .6464E-08   .9416E+03   .4323E+04     .4301E+04       -0.099     -0.413     .4747E+30
V_cfh12k    66       .3802E-08   .9114E+03   .5377E+04     .5336E+04        0.000      0.020     .5256E+30
R_cfh12k    67       .2080E-08   .1185E+04   .6583E+04     .6516E+04        0.216      0.393     .4367E+30
I_cfh12k    68       .1086E-08   .2025E+04   .8229E+04     .8091E+04        0.446      0.706     .3035E+30
Z_cfh12k    69       .5361E-09   .4394E+04   .1077E+05     .1029E+05        0.656     99.999     .1813E+30
B_Mosaic A  70       .6093E-08   .3053E+03   .4448E+04     .4403E+04       -0.090     -0.364     .4932E+30
V_Mosaic A  71       .3723E-08   .4684E+03   .5435E+04     .5378E+04        0.001      0.032     .5216E+30
R_Mosaic A  72       .2129E-08   .8240E+03   .6611E+04     .6438E+04        0.200      0.369     .4358E+30
I_Mosaic A  73       .1127E-08   .7877E+03   .8081E+04     .7980E+04        0.439      0.697     .3131E+30
z_Mosaic A  74       .8314E-09   .4291E+03   .9029E+04     .8969E+04        0.525      0.796     .2523E+30
CIRSI_J AB  75       .3048E-09   .1040E+04   .1248E+05     .1237E+05        0.908     99.999     .1260E+30
CIRSI_H AB  76       .1175E-09   .1360E+04   .1636E+05     .1621E+05        1.357     99.999     .6492E+29
CIRSI_K AB  77       .4327E-10   .1624E+04   .2161E+05     .2145E+05        1.835     99.999     .2482E+29
B_Mosaic V  78       .6093E-08   .3053E+03   .4448E+04     .4403E+04       -0.090     -0.364     .4932E+30
V_Mosaic V  79       .3723E-08   .4684E+03   .5435E+04     .5378E+04        0.001      0.032     .5216E+30
R_Mosaic V  80       .2129E-08   .8240E+03   .6611E+04     .6438E+04        0.200      0.369     .4358E+30
I_Mosaic V  81       .1127E-08   .7877E+03   .8081E+04     .7980E+04        0.439      0.697     .3131E+30
z_Mosaic V  82       .8314E-09   .4291E+03   .9029E+04     .8969E+04        0.525      0.796     .2523E+30
CIRSI_J Ve  83       .3048E-09   .1040E+04   .1248E+05     .1237E+05        0.908     99.999     .1260E+30
CIRSI_H Ve  84       .1175E-09   .1360E+04   .1636E+05     .1621E+05        1.357     99.999     .6492E+29
CIRSI_K Ve  85       .4327E-10   .1624E+04   .2161E+05     .2145E+05        1.835     99.999     .2482E+29
