# Filter:   PLANCK_LFI.044GHz
# Detector: energy
# Name:     PLANCK_LFI_044GHZ
# Points:   118
# Units:    Angstrom
#############################################################################
59958491.60 0.0052147
60078648.90 0.00772656
60199288.76 0.0162137
60320414.08 0.0184856
60442027.82 0.0115413
60564132.93 0.0147574
60686732.39 0.0333769
60809829.21 0.0270066
60933426.42 0.0181179
61057527.09 0.0267514
61182134.29 0.0510993
61307251.12 0.0344926
61432880.74 0.0307855
61559026.28 0.0477033
61685690.95 0.0727179
61812877.94 0.0445539
61940590.50 0.0463218
62068831.88 0.0729181
62197605.39 0.0686118
62326914.35 0.0437599
62456762.08 0.0523377
62587151.98 0.087312
62718087.45 0.0615516
62849571.91 0.0499009
62981608.82 0.0719604
63114201.68 0.0856448
63247354.01 0.0520435
63381069.34 0.0551105
63515351.27 0.0879429
63650203.40 0.0659187
63785629.36 0.0595074
63921632.84 0.0831978
64058217.52 0.094244
64195387.15 0.066271
64333145.49 0.0845241
64471496.34 0.127412
64610443.53 0.111598
64749990.93 0.102544
64890142.42 0.15746
65030901.95 0.157657
65172273.48 0.133326
65314261.00 0.183137
65456868.56 0.217508
65600100.22 0.15606
65743960.09 0.167779
65888452.31 0.233215
66033581.06 0.136809
66179350.55 0.118598
66325765.04 0.172713
66472828.82 0.138964
66620546.22 0.11175
66768921.60 0.147858
66917959.38 0.116267
67067663.98 0.0857337
67218039.91 0.147188
67369091.69 0.124333
67520823.87 0.0807521
67673241.08 0.0994546
67826347.96 0.0932918
67980149.21 0.0663974
68134649.55 0.0896836
68289853.76 0.0989113
68445766.67 0.0619691
68602393.14 0.087345
68759738.07 0.0850159
68917806.44 0.0765051
69076603.23 0.12847
69236133.49 0.141457
69396402.31 0.119487
69557414.85 0.206431
69719176.28 0.221769
69881691.84 0.203888
70044966.82 0.317017
70209006.56 0.197743
70373816.43 0.157146
70539401.88 0.258556
70705768.40 0.10126
70872921.51 0.106986
71040866.82 0.130734
71209609.98 0.0553047
71379156.67 0.0810852
71549512.65 0.0652966
71720683.73 0.0362877
71892675.78 0.0771234
72065494.71 0.0332282
72239146.51 0.0369339
72413637.20 0.0491241
72588972.88 0.0264985
72765159.71 0.0458225
72942203.89 0.0335682
73120111.71 0.0266614
73298889.49 0.0548405
73478543.63 0.0302213
73659080.59 0.059103
73840506.90 0.0458344
74022829.14 0.0444533
74206053.96 0.0749651
74390188.09 0.0577711
74575238.31 0.109163
74761211.47 0.0979048
74948114.50 0.116809
75135954.39 0.176377
75324738.19 0.127439
75514473.05 0.202977
75705166.16 0.101079
75896824.81 0.0987378
76089456.35 0.0428216
76283068.19 0.0218648
76477667.86 0.0189691
76673262.92 0.00701291
76869861.03 0.00891842
77067469.92 0.00282121
77266097.42 0.00346406
77465751.42 0.00134333
77666439.90 0.00125122
77868170.91 0.000652285
78070952.60 0.000403268
78274793.21 0.000247022
