# Filter:   PLANCK_HFI.217GHz
# Detector: energy
# Name:     PLANCK_HFI_217GHZ
# Points:   475
# Units:    Angstrom
#############################################################################
8888888.89 0.000551537
8928571.43 0.00056358
8968609.87 0.000643183
9009009.01 0.000742261
9049773.76 0.000825433
9090909.09 0.000859625
9132420.09 0.000823219
9174311.93 0.000851285
9216589.86 0.000943948
9259259.26 0.00100039
9302325.58 0.00101786
9345794.39 0.0011145
9389671.36 0.00126761
9433962.26 0.00138284
9478672.99 0.00134782
9523809.52 0.00132909
9569377.99 0.0015708
9615384.62 0.00173065
9661835.75 0.00179871
9708737.86 0.00186401
9756097.56 0.00192648
9803921.57 0.00195145
9852216.75 0.00200815
9900990.10 0.00210416
9950248.76 0.00240797
10000000.00 0.00289241
10050251.26 0.00187489
10101010.10 0.00202785
10152284.26 0.00199242
10204081.63 0.00206922
10256410.26 0.00238958
10309278.35 0.00250208
10362694.30 0.00248186
10416666.67 0.00271391
10471204.19 0.00314412
10526315.79 0.00343641
10582010.58 0.00369388
10638297.87 0.00405122
10695187.17 0.00457888
10752688.17 0.00507029
10810810.81 0.00570114
10869565.22 0.00668058
10928961.75 0.00807401
10989010.99 0.00985545
11023094.15 0.0114749
11043622.31 0.011339
11064225.84 0.0100947
11084906.39 0.00845341
11105664.40 0.00816696
11126500.30 0.0101281
11147414.52 0.0117433
11168407.52 0.0132201
11189480.99 0.0150844
11210632.88 0.0177467
11231864.89 0.0211868
11253178.74 0.0272676
11274572.37 0.0398044
11296047.49 0.0575273
11317604.58 0.0666526
11339244.10 0.0648618
11360966.54 0.0652348
11382772.36 0.0729254
11404663.34 0.0852242
11426637.39 0.0959131
11448696.27 0.0974917
11470841.81 0.0922897
11493071.86 0.0862062
11515388.24 0.0922838
11537791.46 0.111011
11560282.02 0.133747
11582860.42 0.157891
11605527.20 0.168014
11628284.22 0.174385
11651129.30 0.184135
11674064.33 0.224384
11697091.19 0.298872
11720207.70 0.345829
11743415.76 0.327054
11766715.22 0.301602
11790108.71 0.327466
11813594.71 0.405622
11837174.46 0.494463
11860849.93 0.526907
11884618.89 0.498484
11908483.31 0.480132
11932445.18 0.507942
11956502.24 0.543163
11980656.51 0.548775
12004907.85 0.573552
12029259.01 0.593425
12053708.43 0.558053
12078257.45 0.490912
12102908.12 0.471851
12127658.16 0.537749
12152509.62 0.645683
12177464.63 0.738301
12202520.85 0.772991
12227680.39 0.758525
12252943.89 0.732144
12278312.01 0.742429
12303785.38 0.771836
12329364.68 0.833023
12355052.07 0.847622
12380845.20 0.815975
12406746.24 0.76369
12432755.89 0.735267
12458876.36 0.766034
12485105.27 0.810157
12511444.84 0.862784
12537895.79 0.924643
12564459.29 0.929475
12591135.74 0.901763
12617924.92 0.829545
12644829.13 0.771338
12671847.68 0.796784
12698982.42 0.84186
12726233.13 0.782371
12753601.54 0.728107
12781088.08 0.695238
12808692.70 0.726751
12836417.31 0.864456
12864261.70 0.96005
12892227.82 0.94507
12920315.63 0.908874
12948525.60 0.902043
12976859.69 0.916369
12978643.28 0.917489
12981459.62 0.919086
12984277.86 0.919772
12987097.32 0.919862
12989917.33 0.919431
12992738.90 0.918446
12995560.86 0.916887
12998384.89 0.914743
13001210.14 0.912015
13004036.45 0.908712
13005317.21 0.907035
13006864.50 0.904849
13009693.11 0.900449
13012523.28 0.895537
13015353.84 0.890146
13018186.47 0.884311
13021020.34 0.878074
13023855.27 0.871484
13026691.95 0.864598
13029529.36 0.857484
13032368.17 0.850224
13033900.67 0.846281
13035207.70 0.842909
13038048.65 0.835649
13040891.17 0.828562
13043734.60 0.821781
13046579.94 0.815447
13049426.19 0.809703
13052273.51 0.804692
13055121.73 0.800552
13057971.53 0.797404
13060822.58 0.795351
13062609.87 0.794666
13063674.70 0.79447
13066528.75 0.794805
13069384.05 0.796368
13072239.92 0.799129
13075096.69 0.803024
13077955.22 0.807951
13080815.17 0.813775
13083676.38 0.820334
13086538.66 0.827442
13089402.71 0.834904
13091445.32 0.840317
13092267.51 0.842514
13095132.87 0.850073
13098000.68 0.857389
13100869.07 0.864288
13103739.05 0.870617
13106609.95 0.876249
13109482.80 0.881083
13112356.39 0.885047
13115230.55 0.888093
13118107.17 0.890198
13120409.04 0.891191
13120984.37 0.891356
13123863.18 0.891579
13126742.90 0.890886
13129624.58 0.889307
13132506.32 0.886874
13135390.01 0.883621
13138275.49 0.879584
13141161.72 0.874802
13144049.38 0.869315
13146938.32 0.863171
13149500.34 0.857223
13149828.36 0.856426
13152719.14 0.849149
13155611.55 0.841423
13158505.91 0.833349
13161401.04 0.825046
13164297.61 0.81665
13167195.45 0.808312
13170094.40 0.800197
13172994.11 0.792476
13175895.44 0.785322
13178721.80 0.77906
13178798.74 0.778899
13181703.32 0.773362
13184608.49 0.768842
13187515.28 0.765447
13190423.01 0.763251
13193331.85 0.762294
13196242.50 0.76258
13199154.25 0.764076
13202067.81 0.766717
13204982.14 0.770407
13207897.75 0.77503
13208073.25 0.775334
13210814.83 0.780451
13213732.49 0.786526
13216651.97 0.793113
13219572.74 0.800073
13222495.33 0.80728
13225418.68 0.814625
13228343.50 0.822018
13231269.61 0.829388
13234196.15 0.836687
13237124.85 0.843883
13237555.21 0.844933
13240054.50 0.850958
13242986.15 0.857906
13245919.10 0.864722
13248852.64 0.871405
13251787.84 0.877948
13254723.46 0.884337
13257661.25 0.890548
13260600.35 0.896545
13263540.58 0.902284
13266482.64 0.90771
13267169.78 0.908919
13269425.30 0.912763
13272368.92 0.917382
13275314.37 0.921505
13278261.30 0.92508
13281209.54 0.928059
13284158.92 0.93041
13287110.13 0.932112
13290062.13 0.933162
13293014.73 0.933567
13295969.89 0.933347
13296916.27 0.933134
13298925.64 0.932533
13301883.07 0.931159
13304841.46 0.929264
13307801.87 0.926883
13310763.25 0.924046
13313724.88 0.920779
13316689.25 0.917096
13319654.23 0.913004
