# Filter:   PLANCK_HFI.353GHz
# Detector: energy
# Name:     PLANCK_HFI_353GHZ
# Points:   654
# Units:    Angstrom
#############################################################################
8748241.28 0.850126
8749521.07 0.853588
8750800.86 0.857487
8752081.03 0.861769
8753361.18 0.866363
8754642.48 0.871186
8755924.15 0.876139
8757205.81 0.881113
8758487.85 0.885989
8759770.65 0.890645
8759797.51 0.890741
8761053.82 0.894956
8762337.37 0.898799
8763620.14 0.90206
8764904.06 0.904638
8766188.74 0.906448
8767473.79 0.907423
8768759.23 0.907521
8770044.27 0.906723
8771330.45 0.905038
8772616.24 0.902497
8772756.31 0.902173
8773903.18 0.899157
8775190.50 0.895094
8776477.43 0.890403
8777765.50 0.885195
8779053.95 0.879589
8780342.78 0.873709
8781631.99 0.86768
8782920.03 0.861625
8784210.00 0.855656
8785500.34 0.849877
8785752.74 0.848773
8786791.06 0.844377
8788082.17 0.839229
8789372.87 0.834489
8790664.74 0.830198
8791956.20 0.826378
8793248.82 0.823034
8794541.83 0.820159
8795834.43 0.817732
8797128.20 0.815721
8798422.34 0.814086
8798788.51 0.813689
8799716.86 0.812782
8801011.76 0.811757
8802306.27 0.810962
8803601.17 0.810344
8804897.21 0.809853
8806193.64 0.809445
8807490.45 0.809076
8808786.87 0.808711
8810084.45 0.80832
8811382.40 0.807877
8811862.25 0.807696
8812679.97 0.807367
8813978.69 0.806777
8815277.02 0.806103
8816576.50 0.805346
8817876.37 0.804512
8819176.63 0.803612
8820476.88 0.80266
8821777.51 0.801675
8823078.14 0.800674
8824379.93 0.799678
8824974.89 0.799233
8825682.10 0.798707
8826984.66 0.79778
8828286.82 0.796913
8829590.15 0.796121
8830893.86 0.795417
8832197.95 0.794808
8833501.66 0.794298
8834805.74 0.79389
8836110.99 0.79358
8837416.63 0.793363
8838127.40 0.793278
8838722.66 0.793231
8840028.68 0.793174
8841335.08 0.793179
8842642.26 0.793234
8843949.05 0.793324
8845257.01 0.793436
8846564.96 0.793556
8847873.29 0.793671
8849182.41 0.793769
8850491.91 0.793838
8851318.39 0.793871
8851801.81 0.793869
8853110.91 0.793852
8854421.19 0.793779
8855732.24 0.793643
8857043.68 0.793436
8858355.52 0.793153
8859666.95 0.792789
8860979.56 0.792341
8862292.56 0.791804
8863605.16 0.791178
8864549.20 0.790667
8864918.94 0.790463
8866232.32 0.789658
8867546.87 0.788768
8868861.82 0.787796
8870177.15 0.78675
8871492.88 0.785637
8872808.21 0.78447
8874123.92 0.78326
8875440.82 0.782022
8876758.11 0.780773
8877818.84 0.779766
8878075.79 0.779531
8879393.07 0.778315
8880711.53 0.777145
8882030.38 0.776043
8883349.63 0.77503
8884668.47 0.774125
8885987.71 0.773351
8887308.13 0.772724
8888628.95 0.772261
8889950.15 0.771976
8891129.45 0.77188
8891271.75 0.771877
8892592.95 0.771969
8893915.33 0.772251
8895237.32 0.772715
8896560.49 0.773344
8897884.06 0.774117
8899207.22 0.775002
8900531.58 0.775958
8901856.32 0.776939
8903181.46 0.77789
8904479.25 0.778737
8904506.21 0.778753
8905831.34 0.779464
8907157.67 0.779959
8908484.39 0.780175
8909811.50 0.780053
8911139.01 0.779543
8912466.12 0.778603
8913794.43 0.777206
8915122.33 0.77534
8916451.42 0.773009
8917780.91 0.770238
8917869.19 0.770037
8919110.00 0.76707
8920440.29 0.763564
8921770.97 0.7598
8923102.05 0.755868
8924432.72 0.751872
8925763.80 0.747921
8927096.07 0.744128
8928428.73 0.740603
8929761.80 0.737449
8931094.86 0.73476
8931300.26 0.734393
8932428.32 0.732613
8933762.58 0.731066
8935097.24 0.730158
8936431.50 0.729904
8937766.55 0.7303
8939102.01 0.731319
8940438.26 0.732913
8941774.92 0.73502
8943111.97 0.737565
8944448.62 0.740462
8944771.05 0.7412
8945785.68 0.743622
8947123.93 0.746954
8948462.58 0.75037
8949801.64 0.753791
8951140.29 0.757143
8952480.15 0.760366
8953820.40 0.76341
8955161.06 0.766241
8956501.32 0.768832
8957841.98 0.771171
8958283.33 0.771881
8959183.84 0.773251
8960526.10 0.775077
8961868.77 0.776654
8963211.84 0.777993
8964554.51 0.779105
8965898.38 0.780002
8967241.86 0.780692
8968586.54 0.781184
8969931.62 0.781483
8971276.31 0.781593
8971835.70 0.781596
8972622.20 0.781517
8973968.49 0.781258
8975315.19 0.780817
8976662.29 0.780201
8978008.19 0.779415
8979356.10 0.778471
8980704.42 0.777382
8982053.14 0.776163
8983402.27 0.774835
8984750.99 0.773419
8985429.14 0.772681
8986100.93 0.771939
8987451.27 0.770419
8988801.21 0.768884
8990152.37 0.767357
8991503.12 0.765862
8992855.09 0.764419
8994207.46 0.76305
8995560.24 0.761774
8996913.02 0.760611
8998265.40 0.759579
8999063.83 0.759028
8999619.41 0.7587
9000973.82 0.757995
9002328.63 0.757488
9003683.86 0.757205
9005038.68 0.757174
9006394.72 0.757424
9007751.17 0.757981
9009107.22 0.758872
9010464.48 0.760119
9011821.35 0.76174
9012739.96 0.763055
9013179.43 0.76374
9014537.93 0.766119
9015896.83 0.768863
9017255.74 0.771945
9018615.05 0.775325
9019974.37 0.778949
9021334.92 0.782752
9022695.87 0.786659
9024056.83 0.790587
9025418.20 0.794448
9026458.54 0.797297
9026780.38 0.798154
9028142.98 0.801622
9029505.99 0.804774
9030868.18 0.807546
9032231.61 0.809885
9033595.85 0.811758
9034960.51 0.813147
9036325.58 0.814056
9037690.24 0.814505
9039056.13 0.814532
9040218.12 0.814263
9040421.62 0.81419
9041788.34 0.813541
9043155.48 0.812656
9044522.20 0.811608
9045890.16 0.810469
9047258.54 0.809305
9048627.32 0.808176
9049996.52 0.807126
9051364.50 0.806187
9052734.53 0.805377
9054020.54 0.804732
9054104.98 0.804694
9055475.84 0.804126
9056847.11 0.803645
9058217.98 0.803211
9059590.09 0.802777
9060962.61 0.80229
9062334.73 0.801694
9063708.08 0.800937
9065081.03 0.799969
9066455.21 0.798747
9067829.82 0.797239
9067864.35 0.797199
9069204.83 0.795424
9070580.27 0.793293
9071955.30 0.790849
9073330.75 0.788109
9074707.44 0.785102
9076084.54 0.78187
9077462.07 0.778463
9078839.19 0.774941
9080217.55 0.771372
9081596.33 0.767827
9081750.56 0.767433
9082975.52 0.764383
9084354.32 0.761115
9085733.53 0.758102
9087113.98 0.755416
9088494.86 0.753125
9089876.15 0.751293
9091257.86 0.749971
9092639.17 0.749203
9094020.90 0.749019
9095403.87 0.749436
9095680.19 0.749593
9096787.27 0.750456
9098171.09 0.752066
9099554.49 0.754235
9100939.15 0.756921
9102324.23 0.760064
9103709.73 0.763592
9105094.83 0.767424
9106480.34 0.771469
9107867.11 0.775631
9109254.30 0.779813
9109651.79 0.780998
9110641.91 0.783918
9112029.53 0.787857
9113417.58 0.791546
9114806.46 0.794912
9116194.93 0.797895
