# Filter:   PLANCK_HFI.143GHz
# Detector: energy
# Name:     PLANCK_HFI_143GHZ
# Points:   196
# Units:    Angstrom
#############################################################################
14705882.35 0.000629309
14814814.81 0.000651553
14925373.13 0.000597503
15037593.98 0.000639909
15151515.15 0.00070044
15267175.57 0.000757211
15384615.38 0.000897859
15503875.97 0.00121591
15625000.00 0.00147003
15748031.50 0.00161928
15873015.87 0.00164248
16000000.00 0.00161317
16129032.26 0.00170183
16260162.60 0.00192661
16393442.62 0.00215657
16528925.62 0.00250674
16666666.67 0.00308623
16806722.69 0.00400006
16949152.54 0.00517147
17041450.77 0.00765576
17090561.00 0.0110006
17139956.57 0.0168213
17189636.73 0.0218876
17239607.79 0.0240749
17289867.55 0.0266829
17340423.02 0.0315468
17391275.61 0.0369772
17442425.52 0.0575771
17493879.33 0.0855044
17545634.84 0.100603
17597699.35 0.106644
17650074.39 0.125579
17702760.25 0.183693
17755763.79 0.236715
17809082.82 0.305447
17862724.96 0.373294
17916691.86 0.349142
17970983.91 0.319534
18025608.26 0.339715
18080562.76 0.412049
18135855.33 0.441275
18191487.78 0.431759
18247460.60 0.409439
18303781.27 0.410892
18360447.64 0.454944
18417468.01 0.495837
18474844.33 0.486568
18532577.19 0.500329
18590674.43 0.533555
18649133.94 0.563027
18707964.37 0.582239
18767167.85 0.626496
18826745.11 0.629004
18886704.33 0.60121
18947043.45 0.607445
19007771.52 0.668317
19068889.03 0.66286
19130402.31 0.592896
19192314.48 0.575109
19254625.34 0.589387
19317344.37 0.610466
19380472.20 0.688405
19444015.49 0.75402
19507977.59 0.738873
19572358.45 0.705938
19637167.97 0.702237
19702406.96 0.682557
19768082.44 0.624178
19834198.01 0.59926
19900754.14 0.618972
19967760.05 0.612699
20035217.91 0.549791
20103135.11 0.460285
20171514.35 0.437629
20240358.30 0.524713
20309673.78 0.615296
20379465.65 0.665049
20449740.93 0.645995
20520502.55 0.635861
20591753.46 0.691455
20663500.88 0.730979
20735750.03 0.73278
20808508.35 0.726697
20881776.44 0.737349
20955565.40 0.745156
21029875.04 0.741217
21104713.57 0.87204
21180088.89 0.940664
21256001.84 0.809153
21332464.11 0.642711
21409475.71 0.613207
21487045.35 0.678615
21565181.46 0.737188
21643885.11 0.70205
21723168.63 0.719231
21803032.28 0.715298
21883485.32 0.664918
21964536.72 0.657682
22046187.82 0.714684
22128451.68 0.70232
22211328.80 0.791667
22294829.05 0.860385
22378961.99 0.787294
22463729.28 0.738957
22549144.73 0.786384
22635209.16 0.81058
22721933.07 0.806846
22809326.69 0.842442
22897392.02 0.806783
22986143.72 0.824336
23075582.92 0.952995
23165720.85 0.997553
23256568.44 1
23348128.11 0.855379
23440415.40 0.728554
23533430.17 0.745936
23627189.41 0.794404
23721699.86 0.709171
23816966.04 0.618445
23913004.49 0.597795
24009815.98 0.75793
24107416.86 0.834864
24205816.25 0.637551
24305019.24 0.552866
24405041.69 0.568671
24505887.78 0.551904
24607570.77 0.444371
24710104.15 0.430503
24813492.49 0.591372
24917752.73 0.528836
25022889.69 0.386757
25128918.89 0.387163
25235849.84 0.291008
25343695.36 0.13566
25452467.89 0.0598851
25562176.16 0.0269507
25672834.94 0.0149011
25784455.31 0.00890527
25897051.19 0.00561523
25906203.53 0.00566524
25917428.37 0.0057087
25928662.94 0.00570937
25939906.57 0.00564696
25951161.32 0.00550852
25962425.15 0.00528947
25973696.75 0.00499386
25984980.16 0.00463376
25996273.38 0.00422799
26007576.42 0.00380017
26010634.08 0.00368552
26018889.30 0.00337642
26030212.02 0.00298278
26041544.60 0.00264273
26052885.01 0.00237499
26064237.35 0.00219173
26075598.90 0.00209752
26086972.40 0.00208895
26098353.79 0.002155
26109745.79 0.00227819
26121145.69 0.00243627
26125219.75 0.00249459
26132557.61 0.00260436
26143979.50 0.00275732
26155411.37 0.00287214
26166853.25 0.00293008
26178305.15 0.00291834
26189765.01 0.00283127
26201236.98 0.00267075
26212718.31 0.00244596
26224211.77 0.00217238
26235713.24 0.00187027
26240818.08 0.00173465
26247225.50 0.00156267
26258747.87 0.00127314
26270278.29 0.00102354
26281820.91 0.000831916
26293373.68 0.000710821
26304936.61 0.000666167
26316509.72 0.000696698
26328093.01 0.000794181
26339684.42 0.000944235
26351288.13 0.00112776
26357443.25 0.00122932
26362902.76 0.0013228
26374526.24 0.00150663
26386160.67 0.00165796
26397805.37 0.00175893
26409458.26 0.00179679
26421123.54 0.00176505
26432799.13 0.00166408
26444485.04 0.00150097
26456181.29 0.0012888
26467887.89 0.00104538
26475110.42 0.000890236
26479604.85 0.000791442
26491330.09 0.000548666
