# Generated by the Filter Profile Service @ http://skyservice.pha.jhu.edu
# Id = 105
# Name = "2dF B_J"
# Description = "2mm GG395 with UJ10738P transmission, UKST optics and unit|From: http://www.astro.princeton.edu/~dss/LSST/sdss-2df/msg.13.html"
# UCD = ""
# Version = "1.0"
# DateCreated = 7/23/2003 6:24:20 PM
# DateModified = 7/24/2003 5:34:34 PM
# WavelengthMin = 3590
# WavelengthMax = 5490
# WavelengthEff = 4627.45547667824
# WavelengthScale = Linear
# EffectiveWidth = 1175.63067621376
# Unit = 
# Wavelength Value
3540 0
3590 0.00400000018998981
3640 0.0219999998807907
3690 0.0750000029802322
3740 0.149000003933907
3790 0.282000005245209
3840 0.416000008583069
3890 0.515999972820282
3940 0.598999977111816
3990 0.686999976634979
4040 0.717000007629395
4090 0.718999981880188
4140 0.714999973773956
4190 0.720000028610229
4240 0.71399998664856
4290 0.686999976634979
4340 0.672999978065491
4390 0.676999986171722
4440 0.680000007152557
4490 0.646000027656555
4540 0.666000008583069
4590 0.666999995708466
4640 0.731000006198883
4690 0.745999991893768
4740 0.754999995231628
4790 0.754999995231628
4840 0.755999982357025
4890 0.749000012874603
4940 0.776000022888184
4990 0.794000029563904
5040 0.847000002861023
5090 0.930999994277954
5140 0.99099999666214
5190 0.982999980449677
5240 0.842999994754791
5290 0.66100001335144
5340 0.490000009536743
5390 0.317999988794327
5440 0.133000001311302
5490 0.0109999999403954
5540 0
